stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2454899,100,,Ulatis Cultural Center,,38.35576904,-121.961981,,,0,,America/Los_Angeles,,,0
2454900,101,,Ulatis Dr. at Harbison Dr.,,38.35735397,-121.961745,,,0,,America/Los_Angeles,,,0
2454901,102,,Ulatis Dr. at Burton Dr.,,38.35743997,-121.958919,,,0,,America/Los_Angeles,,,0
2454902,103,,Burton Dr. at Ulatis Dr.,,38.35816501,-121.9578,,,0,,America/Los_Angeles,,,0
2454903,104,,Burton Dr. between Ulatis Dr. and Helen Power Dr.,,38.36055603,-121.957817,,,0,,America/Los_Angeles,,,0
2454904,105,,Burton Dr. at Helen Power Dr. (Walmart),,38.36181197,-121.957749,,,0,,America/Los_Angeles,,,0
2454905,106,,Burton Dr.,,38.36371902,-121.95575,,,0,,America/Los_Angeles,,,0
2454907,107,,Burton Dr. at Nut Tree Rd.,,38.364707,-121.954466,,,0,,America/Los_Angeles,,,0
2454909,108,,Nut Tree Rd. at Burton Dr.,,38.36454799,-121.952787,,,0,,America/Los_Angeles,,,0
2454910,109,,Yellowstone Dr. at Nut Tree Rd.,,38.362306,-121.949417,,,0,,America/Los_Angeles,,,0
2454911,110,,Yellowstone Dr. at Ponderosa Dr.,,38.36374199,-121.947556,,,0,,America/Los_Angeles,,,0
2454912,111,,Yellowstone Dr. at McKinley Cir.,,38.36540898,-121.945379,,,0,,America/Los_Angeles,,,0
2454913,112,,Yellowstone Dr. at Teton Dr.,,38.36810402,-121.943031,,,0,,America/Los_Angeles,,,0
2454914,113,,Yellowstone Dr. at Glacier Cir.,,38.36978903,-121.940847,,,0,,America/Los_Angeles,,,0
2454915,114,,Yellowstone Dr. at Rushmore Dr.,,38.371179,-121.939012,,,0,,America/Los_Angeles,,,0
2454916,116,,Leisure Town Rd. at Maple Rd.,,38.37476604,-121.93363,,,0,,America/Los_Angeles,,,0
2454917,117,,Leisure Town Rd. at Popular Rd.,,38.380786,-121.933671,,,0,,America/Los_Angeles,,,0
2454918,118,,Orange Dr. at Leisure Town Rd.,,38.38463204,-121.935026,,,0,,America/Los_Angeles,,,0
2454919,119,,Leisure Town Rd. at Gilley Way,,38.38182201,-121.933872,,,0,,America/Los_Angeles,,,0
2454920,120,,Yellowstone Dr. at Sequoia Dr. (Brookdale Vacaville Leisure Town),,38.37329996,-121.93742,,,0,,America/Los_Angeles,,,0
2454921,121,,Yellowstone Dr. at Bryce Way,,38.37136097,-121.938951,,,0,,America/Los_Angeles,,,0
2454922,122,,Yellowstone Dr. at Glacier Cir.,,38.37013403,-121.940588,,,0,,America/Los_Angeles,,,0
2454923,123,,Yellowstone Dr. at Isle Royale Cir.,,38.36904396,-121.94203,,,0,,America/Los_Angeles,,,0
2454924,124,,Yellowstone Dr. before Lassen Cir.,,38.36784803,-121.943399,,,0,,America/Los_Angeles,,,0
2454925,125,,Yellowstone Dr. at Lassen Cir.,,38.3670628,-121.9438878,,,0,,America/Los_Angeles,,,0
2454926,126,,Yellowstone Dr. before McKinley Cir.,,38.36636703,-121.944395,,,0,,America/Los_Angeles,,,0
2454927,127,,Yellowstone Dr. at McKinley Cir.,,38.36576404,-121.945105,,,0,,America/Los_Angeles,,,0
2454928,128,,Yellowstone Dr. at Olympic Cir.,,38.36515903,-121.945894,,,0,,America/Los_Angeles,,,0
2454929,129,,Yellowstone Dr. before Rainier Cir.,,38.363973,-121.94746,,,0,,America/Los_Angeles,,,0
2454930,130,,Yellowstone Dr. at Rainier Cir.,,38.36339397,-121.9482,,,0,,America/Los_Angeles,,,0
2454931,131,,Yellowstone Dr. at Nut Tree Rd.,,38.36281604,-121.948974,,,0,,America/Los_Angeles,,,0
2454932,132,,Burton Dr. at Nut Tree Rd. (Outlets),,38.36431397,-121.955308,,,0,,America/Los_Angeles,,,0
2454935,133,,Burton Dr. at Helen Power Dr. (Sam's Club),,38.36279098,-121.957239,,,0,,America/Los_Angeles,,,0
2454936,134,,Burton Dr. at Helen Power Dr. (Walmart),,38.36223903,-121.957795,,,0,,America/Los_Angeles,,,0
2454937,135,,Burton Dr. at Saratoga Apartments,,38.35942003,-121.95802,,,0,,America/Los_Angeles,,,0
2454938,136,,Burton Dr. at Ulatis Dr.,,38.35783099,-121.958079,,,0,,America/Los_Angeles,,,0
2454939,137,,Leisure Town Rd. at Quick Stop,,38.38404899,-121.93363,,,0,,America/Los_Angeles,,,0
2454940,138,,Leisure Town Rd. at Orange Dr.,,38.38407498,-121.933869,,,0,,America/Los_Angeles,,,0
2454941,200,,Elmira Rd. at Allison Dr.,,38.35269598,-121.966454,,,0,,America/Los_Angeles,,,0
2454942,203,,Mason St. at Hawaiian Building,,38.355015,-121.987305,,,0,,America/Los_Angeles,,,0
2454943,204,,Merchant St. at Cernon St. ,,38.3535974,-121.9914635,,,0,,America/Los_Angeles,,,0
2454944,205,,Merchant St. at City Hall,,38.351456,-121.9934772,,,0,,America/Los_Angeles,,,0
2454945,206,,Merchant St. at Orchard Ave.,,38.3489194,-121.9961671,,,0,,America/Los_Angeles,,,0
2454946,210,,N. Orchard Ave. at Anita Ct. (Recycle),,38.3572284,-122.0047282,,,0,,America/Los_Angeles,,,0
2454947,211,,Buck Ave. at Eldridge Ave.,,38.3567692,-122.0008904,,,0,,America/Los_Angeles,,,0
2454948,212,,Buck Ave. at Buck Mansion,,38.3566529,-121.9938997,,,0,,America/Los_Angeles,,,0
2454949,213,,Monte Vista at Boost Mobile,,38.35908903,-121.979203,,,0,,America/Los_Angeles,,,0
2454950,214,,Brown St. at E. Monte Vista Ave.,,38.36078703,-121.977425,,,0,,America/Los_Angeles,,,0
2454953,215,,Brown St. at Hazel St.,,38.363169,-121.978042,,,0,,America/Los_Angeles,,,0
2454954,216,,Brown St. at Mobile Home Park,,38.3642171,-121.9779562,,,0,,America/Los_Angeles,,,0
2454956,217,,Brown St. at Bennett Hill Dr.,,38.36593604,-121.977783,,,0,,America/Los_Angeles,,,0
2454957,218,,Brown St. at School Bus Yard,,38.36720598,-121.977688,,,0,,America/Los_Angeles,,,0
2454958,219,,Brown St. at Markham Ave. (Church),,38.3699991,-121.9774678,,,0,,America/Los_Angeles,,,0
2454960,220,,Brown St. at Woodcrest Dr.,,38.37201199,-121.977351,,,0,,America/Los_Angeles,,,0
2454961,221,,Browns Valley Rd. at Shannon Dr.,,38.37790104,-121.978003,,,0,,America/Los_Angeles,,,0
2454962,222,,Tipperary Dr. at Longford Ln.,,38.38007597,-121.977097,,,0,,America/Los_Angeles,,,0
2454963,223,,Tipperary Dr. at Wexford Ln.,,38.380685,-121.975664,,,0,,America/Los_Angeles,,,0
2454964,224,,Tipperary Dr. at Waterford Dr.,,38.38429098,-121.97502,,,0,,America/Los_Angeles,,,0
2454965,225,,Tipperary Dr. at Roscommon Pl.,,38.38605604,-121.973358,,,0,,America/Los_Angeles,,,0
2454966,226,,Tipperary Dr. at Bantry Dr.,,38.388738,-121.974058,,,0,,America/Los_Angeles,,,0
2454967,227,,Tipperary Dr. at Browns Valley Rd. ,,38.39098804,-121.976895,,,0,,America/Los_Angeles,,,0
2454968,228,,Browns Valley Rd. at In-Shape,,38.38952397,-121.977605,,,0,,America/Los_Angeles,,,0
2454969,229,,Glen Eagle Way at Browns Valley Rd.,,38.3869525,-121.9780737,,,0,,America/Los_Angeles,,,0
2454970,230,,Glen Eagle Way at Silver Eagle,,38.386868,-121.981329,,,0,,America/Los_Angeles,,,0
2454971,231,,Glen Eagle Way at Wrentham Dr.,,38.38713203,-121.983353,,,0,,America/Los_Angeles,,,0
2454972,232,,Wrentham Dr. at Graylyn Ct.,,38.38573401,-121.983841,,,0,,America/Los_Angeles,,,0
2454973,233,,Wrentham Dr. at Harwinton Ct.,,38.3833869,-121.9836119,,,0,,America/Los_Angeles,,,0
2454974,234,,Wrentham Dr. at Wethersfield Dr.,,38.38215997,-121.983427,,,0,,America/Los_Angeles,,,0
2454975,235,,Wrentham Dr. at Rollingwood Ct.,,38.37888197,-121.981391,,,0,,America/Los_Angeles,,,0
2454976,236,,Wrentham Dr. at Browns Valley Rd.,,38.37751002,-121.978849,,,0,,America/Los_Angeles,,,0
2454977,400,,Solano Community College,,38.39365197,-121.941764,,,0,,America/Los_Angeles,,,0
2454978,403,,Kaiser Hospital,,38.3879642080381,-121.937491336563,,,0,,America/Los_Angeles,,,0
2454979,404,,Orange Dr. at Gilley Way (Dodge),,38.382942,-121.938402,,,0,,America/Los_Angeles,,,0
2454980,409,,Harbison Dr. at Nut Tree Pkwy. (Burlington Coat Factory),,38.36122599,-121.963463,,,0,,America/Los_Angeles,,,0
2454981,410,,Orange Dr. at Nut Tree Rd.,,38.36938896,-121.955623,,,0,,America/Los_Angeles,,,0
2454982,500,,Harbison Dr. at Safeway,,38.36196402,-121.963234,,,0,,America/Los_Angeles,,,0
2454983,501,,Helen Power Dr. at Baskin Robins,,38.36426603,-121.960257,,,0,,America/Los_Angeles,,,0
