route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
11095,c_19530_b_25910_d_63,t_1051415_b_25910_tn_3,,Loop,0,19684,p_178714,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11095,c_19530_b_25910_d_63,t_1051384_b_25910_tn_1,,Loop,0,19684,p_178713,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11095,c_19530_b_25910_d_63,t_1051384_b_25910_tn_2,,Loop,0,19684,p_178713,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11095,c_19530_b_25910_d_63,t_1051384_b_25910_tn_3,,Loop,0,19684,p_178713,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11095,c_19530_b_25910_d_63,t_1051385_b_25910_tn_1,,Loop,0,19684,p_178714,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11095,c_19530_b_25910_d_63,t_1051385_b_25910_tn_2,,Loop,0,19684,p_178714,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11095,c_19530_b_25910_d_63,t_1051385_b_25910_tn_3,,Loop,0,19684,p_178714,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11095,c_19530_b_25910_d_63,t_1051414_b_25910_tn_1,,Loop,0,19684,p_178713,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11095,c_19530_b_25910_d_63,t_1051414_b_25910_tn_2,,Loop,0,19684,p_178713,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11095,c_19530_b_25910_d_63,t_1051414_b_25910_tn_3,,Loop,0,19684,p_178713,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11095,c_19530_b_25910_d_63,t_1051415_b_25910_tn_1,,Loop,0,19684,p_178714,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11095,c_19530_b_25910_d_63,t_1051415_b_25910_tn_2,,Loop,0,19684,p_178714,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11097,c_19530_b_25910_d_63,t_1051398_b_25910_tn_3,,Loop,0,19686,p_178716,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11097,c_19530_b_25910_d_63,t_1051411_b_25910_tn_3,,Loop,0,19686,p_178716,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11097,c_19530_b_25910_d_63,t_1051411_b_25910_tn_2,,Loop,0,19686,p_178716,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11097,c_19530_b_25910_d_63,t_1051411_b_25910_tn_1,,Loop,0,19686,p_178716,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11097,c_19530_b_25910_d_63,t_1051402_b_25910_tn_3,,Loop,0,19686,p_178716,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11097,c_19530_b_25910_d_63,t_1051402_b_25910_tn_2,,Loop,0,19686,p_178716,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11097,c_19530_b_25910_d_63,t_1051402_b_25910_tn_1,,Loop,0,19686,p_178716,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11097,c_19530_b_25910_d_63,t_1051398_b_25910_tn_2,,Loop,0,19686,p_178716,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11097,c_19530_b_25910_d_63,t_1051398_b_25910_tn_1,,Loop,0,19686,p_178716,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11097,c_19530_b_25910_d_63,t_1051397_b_25910_tn_3,,Loop,0,19686,p_178716,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11097,c_19530_b_25910_d_63,t_1051397_b_25910_tn_2,,Loop,0,19686,p_178716,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11097,c_19530_b_25910_d_63,t_1051397_b_25910_tn_1,,Loop,0,19686,p_178716,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
