stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
311010,311010,"Terra Nova Blvd & Alicante Dr",,  37.585610,-122.476650,1,,0,
311013,311013,"Bradford Way & Fairway Dr",,  37.621690,-122.485820,1,,0,
311016,311016,"Capistrano Dr & Linda Mar Blvd",,  37.582440,-122.483580,1,,0,
311018,311018,"Capistrano Dr & Rosita Rd",,  37.581130,-122.483650,1,,0,
311019,311019,"Clarendon Rd & Francisco Blvd",,  37.629830,-122.489950,1,,0,
311020,311020,"Clarendon Rd & Francisco Blvd",,  37.629940,-122.490220,1,,0,
311022,311022,"1159 Crespi Dr",,  37.589330,-122.487110,1,,0,
311023,311023,"Crespi Dr & Alcala Ct",,  37.591190,-122.489230,1,,0,
311024,311024,"Crespi Dr & Barcelona Dr",,  37.592440,-122.488470,1,,0,
311025,311025,"Crespi Dr & De Solo Dr",,  37.595270,-122.497520,1,,0,
311026,311026,"Crespi Dr & Seville Dr",,  37.593490,-122.492210,1,,0,
311027,311027,"Crespi Dr & Escalero Ave",,  37.593650,-122.492490,1,,0,
311028,311028,"Crespi Dr & Fassler Ave",,  37.598820,-122.482680,1,,0,
311029,311029,"Crespi Dr & Fassler Ave",,  37.598730,-122.482540,1,,0,
311030,311030,"Crespi Dr & Hwy 1",,  37.598950,-122.499370,1,,0,
311032,311032,"Crespi Dr & Ladera Way",,  37.596610,-122.496900,1,,0,
311033,311033,"Crespi Dr & Lerida Way",,  37.594240,-122.480990,1,,0,
311034,311034,"Crespi Dr & Lerida Way",,  37.594290,-122.480850,1,,0,
311035,311035,"Crespi Dr & Manzanita Dr",,  37.589690,-122.484190,1,,0,
311036,311036,"Crespi Dr & Manzanita Dr",,  37.589660,-122.484380,1,,0,
311037,311037,"Crespi Dr & Peralta Rd",,  37.593330,-122.495750,1,,0,
311038,311038,"Crespi Dr & Peralta Rd",,  37.593320,-122.496090,1,,0,
311039,311039,"Crespi Dr & Regina Way",,  37.593410,-122.488870,1,,0,
311040,311040,"Crespi Dr & Roberts Rd",,  37.598040,-122.498010,1,,0,
311041,311041,"Crespi Dr & Roberts Rd",,  37.598240,-122.497990,1,,0,
311042,311042,"Crespi Dr & Tapis Way",,  37.589760,-122.488460,1,,0,
311043,311043,"De Solo Dr & Anza Dr",,  37.595980,-122.498680,1,,0,
311049,311049,"Francisco Blvd & Lakeside Ave",,  37.628540,-122.489780,1,,0,
311050,311050,"Gateway Dr & Eastridge Cir",,  37.664570,-122.482060,1,,0,
311051,311051,"Gateway Dr & Eastridge Cir",,  37.664630,-122.482520,1,,0,
311052,311052,"Gateway Dr & Hickey Blvd",,  37.660280,-122.478760,1,,0,
311053,311053,"Gateway Dr & Hickey Blvd",,  37.660600,-122.478830,1,,0,
311054,311054,"Gateway Dr & Skyline Dr",,  37.665770,-122.485930,1,,0,
