direction_id,original_trip_id,route_id,trip_headsign,service_id,trip_id
1,311002017,31_merged_381003081,Mitchell Park and Ride,2_merged_381003117,311002017_merged_381004047
0,320001016,32_merged_381003087,Hillcrest Park and Ride,1_merged_381003115,320001016_merged_381003941
0,250002017,25_merged_381003062,Broadway Plaza,2_merged_381003117,250002017_merged_381005056
0,100003003,10_merged_381003072,Trotter Way,3_merged_381003116,100003003_merged_381004682
1,261002005,26_merged_381003090,San Ramon Transit Center Via San Ramon Valley Blvd,2_merged_381003124,261002005_merged_381007368
1,281003060,28_merged_381003096,BART Walnut Creek,3_merged_381003123,281003060_merged_381007009
1,121003042,12_merged_381003074,BART Walnut Creek,3_merged_381003116,121003042_merged_381003723
0,190005014,19_merged_381003079,BART Concord,5_merged_381003118,190005014_merged_381003667
0,290001028,29_merged_381003070,BART Walnut Creek Via BART Pleasant Hill,1_merged_381003115,290001028_merged_381004905
1,271003003,27_merged_381003064,BART Orinda via Saint Mary's College,3_merged_381003116,271003003_merged_381003937
0,300001010,30_merged_381003082,Airport Plaza,1_merged_381003115,300001010_merged_381005104
0,350002017,35_merged_381003084,Bishop Ranch,2_merged_381003117,350002017_merged_381004666
1,71002008,7,BART Concord via John Muir Medical Center,2_merged_381003124,71002008_merged_381005697
0,120003054,12_merged_381003074,San Ramon Transit Center,3_merged_381003116,120003054_merged_381003848
1,11002002,1,Shadelands Via BART Walnut Creek,2_merged_381003124,11002002_merged_381006729
1,281001034,28_merged_381003069,Counterclockwise,1_merged_381003115,281001034_merged_381003907
1,91002017,9,Martinez AMTRAK,2_merged_381003124,91002017_merged_381006626
0,,25_merged_381003062,Broadway Plaza,1_merged_381003115,250001106
0,,25_merged_381003062,Broadway Plaza,1_merged_381003115,250001101
0,,37,BART Dublin,2_merged_381003124,370002005
1,281001043,28_merged_381003096,BART Walnut Creek,1_merged_381003122,281001043_merged_381006186
0,260002023,26_merged_381003090,BART Dublin via San Ramon Valley Blvd,2_merged_381003124,260002023_merged_381005689
1,21001070,2,BART Concord,1_merged_381003115,21001070_merged_381005061
1,101003012,10_merged_381003072,BART Walnut Creek,3_merged_381003116,101003012_merged_381004709
1,,25_merged_381003062,BART Walnut Creek,5_merged_381003118,251005060
0,,21_merged_381003066,BART Concord Via Diamond Blvd,5_merged_381003118,210005028
0,,32_merged_381003114,ACE Train Station,2_merged_381003124,320002023
0,,32_merged_381003114,ACE Train Station,2_merged_381003124,320002026
0,,21_merged_381003066,BART Concord Via Diamond Blvd,5_merged_381003118,210005021
0,,21_merged_381003066,BART Concord Via Diamond Blvd,5_merged_381003118,210005020
0,,21_merged_381003066,BART Concord Via Diamond Blvd,5_merged_381003118,210005025
0,,21_merged_381003066,BART Concord Via Diamond Blvd,5_merged_381003118,210005024
0,100003012,10_merged_381003072,Trotter Way,3_merged_381003116,100003012_merged_381004826
1,271002002,27_merged_381003091,BART Walnut Creek,2_merged_381003124,271002002_merged_381007313
1,41003018,4,BART Concord,3_merged_381003123,41003018_merged_381006077
1,111003009,11_merged_381003098,BART Walnut Creek,3_merged_381003123,111003009_merged_381006742
0,300003030,30_merged_381003109,Clockwise,3_merged_381003123,300003030_merged_381005960
1,291003036,29_merged_381003097,BART Orinda via Saint Mary's College,3_merged_381003123,291003036_merged_381007383
1,181005011,18_merged_381003107,Kirker Pass Rd via Clayton Rd and Ayers,5_merged_381003125,181005011_merged_381007124
1,111001007,11_merged_381003098,BART Walnut Creek,1_merged_381003122,111001007_merged_381005599
1,,27_merged_381003091,BART Walnut Creek,5_merged_381003125,271005127
1,,27_merged_381003091,BART Walnut Creek,5_merged_381003125,271005123
0,60002047,6,AMTRAK Via Downtown Pleasant Hill,2_merged_381003124,60002047_merged_381006221
1,121002032,12_merged_381003101,Diablo Valley College,2_merged_381003124,121002032_merged_381006049
1,171005007,17_merged_381003077,BART Walnut Creek Via BART Pleasant Hill,5_merged_381003118,171005007_merged_381003394
0,280002014,28_merged_381003096,Creekside,2_merged_381003124,280002014_merged_381007150
1,121003030,12_merged_381003074,BART Walnut Creek,3_merged_381003116,121003030_merged_381004430
0,,25_merged_381003062,Broadway Plaza,2_merged_381003117,250002102
0,,25_merged_381003062,Broadway Plaza,2_merged_381003117,250002107
0,40002068,4,BART Pleasant Hill,2_merged_381003117,40002068_merged_381004552
0,20002107,2,Clayton,2_merged_381003124,20002107_merged_381006306
1,251003036,25_merged_381003089,San Ramon Transit Center Via Windemere Parkway,3_merged_381003123,251003036_merged_381006179
0,180004008,18_merged_381003080,Diablo Valley College Via Monument,4_merged_381003119,180004008_merged_381004999
1,41001064,4,BART Concord,1_merged_381003115,41001064_merged_381004123
0,70003033,7,BART North Concord via John Muir Medical Center,3_merged_381003116,70003033_merged_381005189
1,,21_merged_381003066,Diablo Valley College Via Diamond Blvd,5_merged_381003118,211005011
1,,21_merged_381003066,Diablo Valley College Via Diamond Blvd,5_merged_381003118,211005010
1,,21_merged_381003093,Clayton/Treat,5_merged_381003125,211005013
1,,21_merged_381003093,Clayton/Treat,5_merged_381003125,211005012
1,,21_merged_381003066,Diablo Valley College Via Diamond Blvd,5_merged_381003118,211005014
1,,21_merged_381003066,Diablo Valley College Via Diamond Blvd,5_merged_381003118,211005017
1,,21_merged_381003066,Diablo Valley College Via Diamond Blvd,5_merged_381003118,211005016
1,,23_merged_381003068,San Ramon Via Bollinger Canyon,2_merged_381003117,231002062
1,,23_merged_381003068,San Ramon Via Bollinger Canyon,2_merged_381003117,231002065
1,,27_merged_381003091,BART Walnut Creek,1_merged_381003122,271001178
1,81003027,8,Martinez AMTRAK,3_merged_381003116,81003027_merged_381004164
0,,36_merged_381003110,San Ramon Transit Center,3_merged_381003123,360003057
1,,27_merged_381003091,BART Walnut Creek,1_merged_381003122,271001170
1,,27_merged_381003091,BART Walnut Creek,1_merged_381003122,271001173
1,21001028,2,BART Concord,1_merged_381003115,21001028_merged_381003361
0,20002002,2,Clayton,2_merged_381003124,20002002_merged_381006476
1,41002053,4,BART Concord,2_merged_381003117,41002053_merged_381003434
0,180004032,18_merged_381003080,Diablo Valley College Via Monument,4_merged_381003119,180004032_merged_381004486
1,41003003,4,BART Concord,3_merged_381003116,41003003_merged_381003811
1,21001088,2,BART Concord,1_merged_381003122,21001088_merged_381006141
1,81002002,8,Martinez AMTRAK,2_merged_381003117,81002002_merged_381004740
1,131003021,13_merged_381003100,BART Walnut Creek,3_merged_381003123,131003021_merged_381006231
1,121002059,12_merged_381003074,BART Walnut Creek,2_merged_381003117,121002059_merged_381005116
0,20001013,2,Clayton,1_merged_381003115,20001013_merged_381004077
1,291001019,29_merged_381003097,BART Orinda via Saint Mary's College,1_merged_381003122,291001019_merged_381006536
1,341003003,34_merged_381003085,BART Walnut Creek,3_merged_381003116,341003003_merged_381003269
0,300001019,30_merged_381003109,Clockwise,1_merged_381003122,300001019_merged_381007235
1,21002113,2,BART Concord,2_merged_381003117,21002113_merged_381004922
0,130003012,13_merged_381003073,BART Walnut Creek via Mount Diablo Blvd,3_merged_381003116,130003012_merged_381004923
0,,27_merged_381003064,BART Lafayette via Saint Mary's College,1_merged_381003115,270001041
0,60001004,6,AMTRAK Via Downtown Pleasant Hill,1_merged_381003115,60001004_merged_381004836
0,,25_merged_381003089,BART Dublin Via Bollinger Canyon,2_merged_381003124,250002050
1,101001004,10_merged_381003072,BART Walnut Creek,1_merged_381003115,101001004_merged_381004611
0,280002059,28_merged_381003096,Creekside,2_merged_381003124,280002059_merged_381006600
1,341003018,34_merged_381003112,BART Walnut Creek,3_merged_381003123,341003018_merged_381006064
1,141003027,14_merged_381003103,BART Lafayette via Mount Diablo Blvd,3_merged_381003123,141003027_merged_381006876
0,80003009,8,BART Pleasant Hill,3_merged_381003116,80003009_merged_381004072
1,,20_merged_381003092,BART Concord,4_merged_381003126,201004025
1,71002017,7,BART Concord via John Muir Medical Center,2_merged_381003124,71002017_merged_381005862
0,,15_merged_381003102,BART North Concord Via VA Clinic/Diablo Valley College,3_merged_381003123,150003024
0,,15_merged_381003102,BART North Concord Via VA Clinic/Diablo Valley College,3_merged_381003123,150003027
0,,15_merged_381003102,BART North Concord Via VA Clinic/Diablo Valley College,3_merged_381003123,150003021
1,31001019,3,BART Pleasant Hill,1_merged_381003122,31001019_merged_381006394
0,100001010,10_merged_381003099,John Muir Med Ctr,1_merged_381003122,100001010_merged_381006033
1,11001010,1,Shadelands Via BART Walnut Creek,1_merged_381003115,11001010_merged_381004316
1,271002035,27_merged_381003064,BART Orinda via Saint Mary's College,2_merged_381003117,271002035_merged_381003533
0,50002014,5,BART Concord Via BART Pleasant Hill,2_merged_381003117,50002014_merged_381004984
0,280002050,28_merged_381003069,Clockwise,2_merged_381003117,280002050_merged_381004411
1,,12_merged_381003101,Diablo Valley College,2_merged_381003124,121002104
1,281002050,28_merged_381003096,BART Walnut Creek,2_merged_381003124,281002050_merged_381007277
1,,12_merged_381003101,Diablo Valley College,2_merged_381003124,121002107
1,,12_merged_381003101,Diablo Valley College,2_merged_381003124,121002101
1,,11_merged_381003071,Diablo Valley College,1_merged_381003115,111001106
1,,11_merged_381003071,Diablo Valley College,1_merged_381003115,111001100
1,,11_merged_381003071,Diablo Valley College,1_merged_381003115,111001103
1,,11_merged_381003071,Diablo Valley College,1_merged_381003115,111001109
0,320001016,32_merged_381003114,Airport Plaza,1_merged_381003122,320001016_merged_381006069
0,40003018,4,BART Pleasant Hill,3_merged_381003116,40003018_merged_381004040
1,281001061,28_merged_381003096,BART Walnut Creek,1_merged_381003122,281001061_merged_381006462
1,21003009,2,BART Concord,3_merged_381003123,21003009_merged_381006427
1,291003009,29_merged_381003097,BART Orinda via Saint Mary's College,3_merged_381003123,291003009_merged_381005712
0,20002092,2,Clayton,2_merged_381003117,20002092_merged_381003572
1,121002041,12_merged_381003074,BART Walnut Creek,2_merged_381003117,121002041_merged_381004958
1,51002041,5,BART Walnut Creek Via BART Pleasant Hill,2_merged_381003124,51002041_merged_381006482
0,290003051,29_merged_381003097,BART Lafayette via Saint Mary's College,3_merged_381003123,290003051_merged_381005772
1,261003027,26_merged_381003063,BART Walnut Creek,3_merged_381003116,261003027_merged_381004444
1,21002011,2,BART Concord,2_merged_381003124,21002011_merged_381006566
1,181005022,18_merged_381003107,Kirker Pass Rd via Clayton Rd and Ayers,5_merged_381003125,181005022_merged_381005426
0,,30_merged_381003109,Clockwise,2_merged_381003124,300002080
0,,30_merged_381003109,Clockwise,2_merged_381003124,300002083
0,,30_merged_381003109,Clockwise,2_merged_381003124,300002086
0,140002017,14_merged_381003103,BART Walnut Creek via Mount Diablo Blvd,2_merged_381003124,140002017_merged_381005768
1,,22_merged_381003094,BART Pleasant Hill Via AMTRAK,4_merged_381003126,221004003
1,,22_merged_381003067,BART Walnut Creek,4_merged_381003119,221004004
1,,22_merged_381003067,BART Walnut Creek,4_merged_381003119,221004005
1,,22_merged_381003094,BART Pleasant Hill Via AMTRAK,4_merged_381003126,221004006
1,,22_merged_381003094,BART Pleasant Hill Via AMTRAK,4_merged_381003126,221004007
1,,22_merged_381003067,BART Walnut Creek,4_merged_381003119,221004008
1,,22_merged_381003067,BART Walnut Creek,4_merged_381003119,221004009
0,50001025,5,BART Concord Via BART Pleasant Hill,1_merged_381003115,50001025_merged_381003452
0,260002005,26_merged_381003090,BART Dublin via San Ramon Valley Blvd,2_merged_381003124,260002005_merged_381005991
0,330002017,33_merged_381003086,San Ramon Transit Center Via Danville Park and Ride,2_merged_381003117,330002017_merged_381003636
1,281003051,28_merged_381003096,BART Walnut Creek,3_merged_381003123,281003051_merged_381005724
0,10002032,1,Rossmoor via BART Walnut Creek,2_merged_381003117,10002032_merged_381003815
1,,37,San Ramon Transit Center,1_merged_381003122,371001025
1,,34_merged_381003085,BART Walnut Creek,1_merged_381003115,341001079
1,,37,San Ramon Transit Center,1_merged_381003122,371001022
1,,34_merged_381003085,BART Walnut Creek,1_merged_381003115,341001076
0,350003021,35_merged_381003084,BART Dublin,3_merged_381003116,350003021_merged_381004523
1,,34_merged_381003085,BART Walnut Creek,1_merged_381003115,341001070
1,,34_merged_381003085,BART Walnut Creek,1_merged_381003115,341001073
1,,37,San Ramon Transit Center,1_merged_381003122,371001028
1,351001001,35_merged_381003111,BART Walnut Creek Via Danville Park and Ride,1_merged_381003122,351001001_merged_381005955
1,351002008,35_merged_381003084,San Ramon Transit Center,2_merged_381003117,351002008_merged_381003524
0,310003018,31_merged_381003108,BART Walnut Creek Via BART Pleasant Hill,3_merged_381003123,310003018_merged_381006611
0,,25_merged_381003062,Broadway Plaza,5_merged_381003118,250005105
0,360003012,36_merged_381003110,San Ramon Transit Center,3_merged_381003123,360003012_merged_381005259
0,,25_merged_381003062,Broadway Plaza,5_merged_381003118,250005109
1,,29_merged_381003097,BART Orinda via Saint Mary's College,2_merged_381003124,291002046
1,261002032,26_merged_381003063,BART Walnut Creek,2_merged_381003117,261002032_merged_381003870
1,111001010,11_merged_381003071,Diablo Valley College,1_merged_381003115,111001010_merged_381003632
1,,25_merged_381003062,BART Walnut Creek,4_merged_381003119,251004019
0,30003030,3,BART Concord,3_merged_381003123,30003030_merged_381005963
1,121001019,12_merged_381003074,BART Walnut Creek,1_merged_381003115,121001019_merged_381003464
0,,27_merged_381003064,BART Lafayette via Saint Mary's College,5_merged_381003118,270005040
0,130001028,13_merged_381003100,San Ramon Transit Center,1_merged_381003122,130001028_merged_381007002
1,,30_merged_381003109,Counterclockwise,1_merged_381003122,301001061
0,,27_merged_381003091,Broadway Plaza,5_merged_381003125,270005045
1,,30_merged_381003109,Counterclockwise,1_merged_381003122,301001067
0,,27_merged_381003064,BART Lafayette via Saint Mary's College,5_merged_381003118,270005047
0,260002032,26_merged_381003090,BART Dublin via San Ramon Valley Blvd,2_merged_381003124,260002032_merged_381006561
0,70001004,7,BART North Concord via John Muir Medical Center,1_merged_381003122,70001004_merged_381005888
0,290003030,29_merged_381003070,BART Walnut Creek Via BART Pleasant Hill,3_merged_381003116,290003030_merged_381004493
0,,27_merged_381003091,Broadway Plaza,1_merged_381003122,270001201
1,,26_merged_381003063,BART Walnut Creek,1_merged_381003115,261001082
1,61002002,6,BART Concord,2_merged_381003117,61002002_merged_381005192
0,130002014,13_merged_381003100,San Ramon Transit Center,2_merged_381003124,130002014_merged_381006508
1,41003018,4,BART Concord,3_merged_381003116,41003018_merged_381003949
1,351003003,35_merged_381003084,San Ramon Transit Center,3_merged_381003116,351003003_merged_381004783
0,280003084,28_merged_381003096,Creekside,3_merged_381003123,280003084_merged_381006553
1,361001031,36_merged_381003110,Bishop Ranch,1_merged_381003122,361001031_merged_381006098
0,,28_merged_381003069,Clockwise,1_merged_381003115,280001085
0,360002029,36_merged_381003110,San Ramon Transit Center,2_merged_381003124,360002029_merged_381006403
0,140003021,14_merged_381003103,BART Walnut Creek via Mount Diablo Blvd,3_merged_381003123,140003021_merged_381005364
0,220004003,22_merged_381003067,San Ramon,4_merged_381003119,220004003_merged_381003594
0,,28_merged_381003069,Clockwise,1_merged_381003115,280001088
1,21003099,2,BART Concord,3_merged_381003123,21003099_merged_381005389
1,,21_merged_381003066,Diablo Valley College Via Diamond Blvd,4_merged_381003119,211004026
1,,21_merged_381003066,Diablo Valley College Via Diamond Blvd,4_merged_381003119,211004023
1,,21_merged_381003066,Diablo Valley College Via Diamond Blvd,4_merged_381003119,211004022
1,51002029,5,BART Walnut Creek Via BART Pleasant Hill,2_merged_381003117,51002029_merged_381004035
1,41003024,4,BART Concord,3_merged_381003123,41003024_merged_381006224
1,,13_merged_381003100,BART Walnut Creek,3_merged_381003123,131003033
0,40003045,4,BART Pleasant Hill,3_merged_381003116,40003045_merged_381003593
0,10002041,1,Rossmoor via BART Walnut Creek,2_merged_381003117,10002041_merged_381004810
0,70001043,7,BART North Concord via John Muir Medical Center,1_merged_381003115,70001043_merged_381003138
1,,25_merged_381003062,BART Walnut Creek,3_merged_381003116,251003095
1,,37,San Ramon Transit Center,2_merged_381003124,371002008
1,,25_merged_381003062,BART Walnut Creek,3_merged_381003116,251003090
0,360002047,36_merged_381003110,San Ramon Transit Center,2_merged_381003124,360002047_merged_381005578
0,,31_merged_381003108,BART WC Via BART PH,2_merged_381003124,310002056
0,,31_merged_381003108,BART Walnut Creek Via BART Pleasant Hill,2_merged_381003124,310002050
0,120001073,12_merged_381003074,San Ramon Transit Center,1_merged_381003115,120001073_merged_381005129
1,,15_merged_381003102,Martinez AMTRAK Via Diablo Valley College/VA Clinic,3_merged_381003123,151003021
0,280002020,28_merged_381003069,Clockwise,2_merged_381003117,280002020_merged_381004675
1,81001010,8,Martinez AMTRAK,1_merged_381003115,81001010_merged_381005215
1,,15_merged_381003102,Martinez AMTRAK Via Diablo Valley College/VA Clinic,3_merged_381003123,151003027
0,120001010,12_merged_381003074,San Ramon Transit Center,1_merged_381003115,120001010_merged_381004191
1,,30_merged_381003109,Counterclockwise,2_merged_381003124,301002044
0,,30_merged_381003109,Clockwise,1_merged_381003122,300001049
0,220005014,22_merged_381003094,Martinez via Downtown Pleasant Hill,5_merged_381003125,220005014_merged_381006382
0,,30_merged_381003109,Clockwise,1_merged_381003122,300001046
0,290001010,29_merged_381003070,BART Walnut Creek Via BART Pleasant Hill,1_merged_381003115,290001010_merged_381003242
0,,30_merged_381003109,Clockwise,1_merged_381003122,300001040
0,,30_merged_381003109,Clockwise,1_merged_381003122,300001043
1,,30_merged_381003109,Counterclockwise,3_merged_381003123,301003090
0,280002053,28_merged_381003096,Creekside,2_merged_381003124,280002053_merged_381006538
1,11003015,1,Shadelands Via BART Walnut Creek,3_merged_381003116,11003015_merged_381003235
0,30002014,3,BART Concord,2_merged_381003124,30002014_merged_381006204
0,,27_merged_381003091,Broadway Plaza,4_merged_381003126,270004141
0,,38,BART Walnut Creek,1_merged_381003122,380001019
0,,27_merged_381003091,Broadway Plaza,4_merged_381003126,270004145
0,220005010,22_merged_381003067,San Ramon,5_merged_381003118,220005010_merged_381004250
0,,38,BART Walnut Creek,1_merged_381003122,380001013
0,,38,BART Walnut Creek,1_merged_381003122,380001010
0,,38,BART Walnut Creek,1_merged_381003122,380001016
1,71003036,7,BART Concord via John Muir Medical Center,3_merged_381003123,71003036_merged_381005532
1,21003036,2,BART Concord,3_merged_381003116,21003036_merged_381005077
0,30001034,3,BART Concord,1_merged_381003122,30001034_merged_381006487
1,21001034,2,BART Concord,1_merged_381003115,21001034_merged_381003520
0,280001061,28_merged_381003069,Clockwise,1_merged_381003115,280001061_merged_381003373
1,121003039,12_merged_381003074,BART Walnut Creek,3_merged_381003116,121003039_merged_381004432
1,61001013,6,BART Concord Via Downtown Pleasant Hill,1_merged_381003122,61001013_merged_381006367
1,331001010,33_merged_381003113,San Ramon,1_merged_381003122,331001010_merged_381006861
1,,10_merged_381003099,BART Walnut Creek Via Marchbanks,3_merged_381003123,101003021
1,51002014,5,BART Walnut Creek Via BART Pleasant Hill,2_merged_381003117,51002014_merged_381003890
0,,32_merged_381003114,ACE Train Station,1_merged_381003122,320001022
0,,32_merged_381003114,ACE Train Station,1_merged_381003122,320001025
0,,32_merged_381003114,ACE Train Station,1_merged_381003122,320001028
1,281002005,28_merged_381003069,Counterclockwise,2_merged_381003117,281002005_merged_381003196
0,60003015,6,AMTRAK Via Downtown Pleasant Hill,3_merged_381003116,60003015_merged_381003270
0,260002020,26_merged_381003063,Creekside,2_merged_381003117,260002020_merged_381004683
0,300002026,30_merged_381003082,ACE Train Station,2_merged_381003117,300002026_merged_381003840
1,71001022,7,BART Concord via John Muir Medical Center,1_merged_381003122,71001022_merged_381007285
1,91003015,9,Martinez AMTRAK,3_merged_381003123,91003015_merged_381006599
1,21002059,2,BART Concord,2_merged_381003124,21002059_merged_381006003
1,271002005,27_merged_381003091,BART Walnut Creek,2_merged_381003124,271002005_merged_381005433
1,31002011,3,BART Pleasant Hill,2_merged_381003124,31002011_merged_381005511
0,,27_merged_381003091,Broadway Plaza,5_merged_381003125,270005028
1,251002053,25_merged_381003089,San Ramon Via Bollinger Canyon,2_merged_381003124,251002053_merged_381007104
