stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_name,location_type
37.98431,,-122.037562,643,,Grant St/Gill Dr,0
37.799591,,-121.898425,2147,,Camino Tassajara/Lawrence Rd,0
37.799477,,-121.903538,2146,,Camino Tassajara/Jasmine Way,0
37.845015,,-121.979512,1132,,3131 Stone Valley Rd,0
37.932171,,-122.019366,1781,,Mitchell Dr/Oak Grove Rd,0
37.769419,,-121.909048,2046,,Bollinger Canyon Rd/Main Branch Rd,0
37.766152,,-121.905245,2047,,Bollinger Canyon Rd/Albion Rd,0
37.77316,,-121.917894,2044,,Bollinger Canyon Rd/Stoneleaf Rd,0
37.770785,,-121.911717,2045,,Bollinger Canyon Rd/S Monarch Rd,0
37.772092,,-121.931246,2042,,Bollinger Canyon Rd/Gale Ridge Rd,0
37.77333,,-121.921068,2043,,Bollinger Canyon Rd/S Wedgewood Rd,0
37.771193,,-121.94571,2040,,Bollinger Canyon Rd/Canyon View Cir,0
37.77171,,-121.939097,2041,,Bollinger Canyon Rd/Chanterella Dr,0
37.759112,,-121.905719,2048,,Bollinger Canyon Rd/Harcourt Way,0
37.754661,,-121.908495,2049,,Bollinger Canyon Rd/Watermill Rd,0
37.927953,,-122.030055,1991,,Lennon Ln/N Wiget Ln,0
37.775232,,-121.980404,1622,,Crow Canyon Rd/Twin Creeks Dr,0
37.779686,,-121.972657,1621,,Crow Canyon Pl/Crow Canyon Rd,0
37.928464,,-122.026725,1992,,N Wiget Ln/Mitchell Dr,0
37.774294,,-121.982696,1627,,Crow Canyon Rd/Old Crow Canyon Rd,0
37.92677,,-122.024713,1994,,Shadelands Dr/N Wiget Ln,0
37.772515,,-121.9956,1625,,Crow Canyon Rd/Bollinger Canyon Rd,0
37.773543,,-121.988231,1624,,Crow Canyon Rd/Deerwood Rd,0
37.914367,,-122.00874,1999,,Walnut Ave/Rock Creek Ct,0
37.822505,,-122.002132,1998,,Railroad Ave/Linda Mesa Ave,0
37.788759,,-121.926897,1629,,Crow Canyon Rd/Dougherty Rd,0
37.774937,,-121.980243,1628,,Crow Canyon Rd/Twin Creeks Dr,0
37.972189,,-122.016529,559,,Clayton Rd/Grove Way,0
