stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
89195,,Napa Valley College,,38.2736111111111,-122.273055555556,,,,,
89196,,Kaiser Road & Corporate Way (SB),,38.2577777777778,-122.273055555556,,,,,
89211,,Sereno Transfer Center,,38.1277777777778,-122.253055555556,,,,,
89213,,Vallejo Ferry Terminal,,38.1005555555556,-122.262222222222,,,,,
89187,,Soscol Avenue & Pear Tree Lane (NW),,38.3230555555556,-122.287777777778,,,,,
89140,,Trancas Street & Jefferson Street,,38.3225,-122.301111111111,,,,,
89175,,Yountville Veterans Home,,38.3938888888889,-122.364444444444,,,,,
89166,,St. Helena City Hall (NB),,38.5058333333333,-122.471666666667,,,,,
89160,,Downtown Calistoga,,38.5771772491489,-122.579754889011,,,,,
89151,,Byway Street East & Salvador Avenue,,38.34,-122.322777777778,,,,,
89156,,Jefferson Street & Trower Avenue,,38.3319444444444,-122.3075,,,,,
89264,,American Canyon Post Office (NE),,38.1683333333333,-122.255555555556,,,,,
89004,,1st Street & Monroe Street,,38.2980555555556,-122.298611111111,,,,,
89006,,Browns Valley Road & Robinson Lane (NE),,38.3022222222222,-122.316111111111,,,,,
89023,,Laurel Street & Kilburn Avenue,,38.3,-122.315,,,,,
89019,,Premium Outlets,,38.295,-122.302222222222,,,,,
89015,,2nd Street & California Blvd,,38.2969444444444,-122.299722222222,,,,,
89082,,East Avenue & Highland Drive (NW),,38.3069444444444,-122.273611111111,,,,,
89129,,Sutherland Drive & Linda Vista Avenue,,38.3155555555556,-122.318055555556,,,,,
89139,,Lincoln Avenue & Jefferson Street,,38.3080555555556,-122.296388888889,,,,,
89045,,Foster Road & Imola Avenue,,38.2816666666667,-122.305555555556,,,,,
89220,,American Canyon Senior Center (SE),,38.1617817255433,-122.260008752346,,,,,
89069,,Imola Avenue & Parrish Road,,38.28,-122.265833333333,,,,,
89065,,Shetler Avenue & Shurtleff Avenue,,38.2825,-122.263055555556,,,,,
89072,,Kansas Avenue & Wilkins Avenue,,38.2855555555556,-122.270555555556,,,,,
89056,,Coombs Street & Oak Street,,38.2933333333333,-122.284722222222,,,,,
89116,,Napa High,,38.3092263266086,-122.296178340912,,,,,
89163,,Bothe State Park (SB),,38.5533333333333,-122.525555555556,,,,,
89170,,Rutherford (SB),,38.4580555555556,-122.422222222222,,,,,
89171,,Oakville (SB),,38.4369444444444,-122.403055555556,,,,,
89248,,Washington Street & Mulberry Street (NE),,38.4013016718013,-122.360197305679,,,,,
89225,,Highway 29 & Rio Del Mar (SW),,38.1788888888889,-122.255555555556,,,,,
89202,,Donaldson Way & Benton Way (NW),,38.1708333333333,-122.262222222222,,,,,
89051,,Soscol Avenue & Kansas Avenue (SW),,38.2847222222222,-122.274722222222,,,,,
89212,,Vallejo Transit Center,,38.1,-122.258888888889,,,,,
89269,,Sonoma Plaza,,38.2919444444444,-122.457777777778,,,,,
89001,,Soscol Gateway Transit Center,,38.2975,-122.28,,,,,
89014,,1st Street & Chelsea Avenue,,38.3002777777778,-122.31,,,,,
89005,,1st Street & Freeway Drive,,38.2997222222222,-122.307222222222,,,,,
89002,,1st Street & Main Street,,38.2986111111111,-122.286111111111,,,,,
89003,,1st Street & Washington Street,,38.2972222222222,-122.291666666667,,,,,
